Nama Sekolah,Alamat,Daerah,Kota,Jenis Sekolah,Tipe Sekolah,Kurikulum,Anggaran SPP (Rp),Biaya Masuk (Rp),Bahasa Pengantar,Akreditasi,Fasilitas,Ekskul,Pendidikan Agama,Prestasi,Transportasi,No Telepon,content,score,Website
SMA Nusantara 260,Jl. Gatot Subroto No.15,Kebon Jeruk,Jakarta Barat,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"bandung dki jakarta sd negeri b kolam renang, aula futsal, tari, robotik kristen 2032349 8890909",0.041243553,www.smanusantara260.sch.id
SD Bintang Timur 67,Jl. Raya Ujung,Senen,Jakarta Pusat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Juara 1 OSN,Bus Sekolah,022-7654321,"yogyakarta jawa barat sd negeri b ruang musik, ruang seni pencak silat, kir budha 1690783 2010073",0,www.sdbintangtimur67.sch.id
SD Bintang Timur 279,Jl. Merdeka No.10,Gambir,Jakarta Pusat,SD,Nasional Plus,Cambridge,2092036,12469794,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Tidak Ada,Lomba Tari Provinsi,Bus Sekolah,0274-998877,"surabaya dki jakarta smp nasional plus c ruang musik, ruang seni basket, pramuka, musik tidak ada 2092036 12469794",0.070467478,www.sdbintangtimur279.sch.id
SMA Nusantara 269,Jl. Mawar No.2,Duren Sawit,Jakarta Timur,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0361-556677,"bandung di yogyakarta sd negeri c kolam renang, aula pencak silat, kir kristen 2374939 18311492",0,www.smanusantara269.sch.id
TK Ceria 230,Jl. Merdeka No.10,Kebayoran Baru,Jakarta Selatan,TK,Nasional,Kurikulum Merdeka,2638904,17581798,Bahasa Indonesia,C,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Olimpiade Matematika,Tidak Ada,031-8765432,"denpasar dki jakarta sd nasional c kolam renang, aula pencak silat, kir budha 2638904 17581798",0.041627227,www.tkceria230.sch.id
TK Ceria 192,Jl. Merdeka No.10,Cakung,Jakarta Timur,TK,Internasional,IB,2574530,2051658,Bahasa Inggris,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Tidak Ada,Olimpiade Matematika,Bus Sekolah,031-8765432,"denpasar dki jakarta smp internasional b kolam renang, aula basket, pramuka, musik tidak ada 2574530 2051658",0.074000078,www.tkceria192.sch.id
SMP Pelita Ilmu 277,Jl. Merdeka No.10,Jatinegara,Jakarta Timur,SMP,Nasional,Kurikulum 2013,2321287,14687766,Jepang,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Katolik,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"jakarta selatan dki jakarta sma nasional a lab komputer, perpustakaan, lapangan pencak silat, kir katolik 2321287 14687766",0.12447049,www.smppelitailmu277.sch.id
SMA Nusantara 229,Jl. Gatot Subroto No.15,Kebon Jeruk,Jakarta Barat,SMA,Nasional Plus,IB,1954273,18355736,Jepang,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Bus Sekolah,0274-998877,"yogyakarta di yogyakarta smp nasional plus a ruang musik, ruang seni futsal, tari, robotik budha 1954273 18355736",0,www.smanusantara229.sch.id
SD Bintang Timur 51,Jl. Gatot Subroto No.15,Kelapa Dua,Jakarta Barat,SD,Nasional,IB,2779571,8056859,Jepang,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Katolik,Debat Nasional,Tidak Ada,0361-556677,"jakarta selatan di yogyakarta smp nasional c ruang musik, ruang seni futsal, tari, robotik katolik 2779571 8056859",0.01514838,www.sdbintangtimur51.sch.id
Sekolah Harapan Bangsa 277,Jl. Sudirman No.25,Cilandak,Jakarta Selatan,SD,Nasional,IB,1561585,7369690,Mandarin,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"yogyakarta bali smp nasional c kolam renang, aula futsal, tari, robotik islam 1561585 7369690",0.030370679,www.sekolahharapanbangsa277.sch.id
SMA Nusantara 124,Jl. Mawar No.2,Koja,Jakarta Utara,SMA,Internasional,IB,2869299,2214413,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Tidak Ada,Juara 1 OSN,Tidak Ada,031-8765432,"surabaya jawa barat tk internasional b lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 2869299 2214413",0.049034741,www.smanusantara124.sch.id
SMP Pelita Ilmu 80,Jl. Merdeka No.10,Cempaka Putih,Jakarta Pusat,SMP,Nasional Plus,Kurikulum Merdeka,964486,3383493,Bahasa Indonesia,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Debat Nasional,Bus Sekolah,031-8765432,"jakarta selatan di yogyakarta sma nasional plus a kolam renang, aula basket, pramuka, musik islam 964486 3383493",0.09908926,www.smppelitailmu80.sch.id
Sekolah Harapan Bangsa 89,Jl. Mawar No.2,Penjaringan,Jakarta Utara,SMA,Nasional,Cambridge,2908300,18749016,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Kristen,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"yogyakarta bali sma nasional c ruang musik, ruang seni futsal, tari, robotik kristen 2908300 18749016",0.02135422,www.sekolahharapanbangsa89.sch.id
TK Ceria 73,Jl. Gatot Subroto No.15,Jatinegara,Jakarta Timur,TK,Nasional,IB,2513959,8697021,Jepang,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Hindu,Lomba Tari Provinsi,Antar Jemput Pribadi,021-1234567,"denpasar jawa timur sma nasional c ruang musik, ruang seni pencak silat, kir hindu 2513959 8697021",0.020985061,www.tkceria73.sch.id
TK Ceria 223,Jl. Merdeka No.10,Kalideres,Jakarta Barat,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Debat Nasional,Tidak Ada,021-1234567,"bandung dki jakarta tk negeri a ruang musik, ruang seni basket, pramuka, musik budha 1018904 6372016",0.072290253,www.tkceria223.sch.id
Sekolah Harapan Bangsa 145,Jl. Raya Ujung,Duren Sawit,Jakarta Timur,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Debat Nasional,Antar Jemput Pribadi,0274-998877,"denpasar dki jakarta sd negeri c kolam renang, aula basket, pramuka, musik kristen 2339297 10234841",0.075513454,www.sekolahharapanbangsa145.sch.id
SMP Pelita Ilmu 132,Jl. Mawar No.2,Kramat Jati,Jakarta Timur,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"surabaya bali smp negeri c lab komputer, perpustakaan, lapangan futsal, tari, robotik islam 519076 11749226",0.080099694,www.smppelitailmu132.sch.id
SMP Pelita Ilmu 127,Jl. Mawar No.2,Koja,Jakarta Utara,SMP,Internasional,IB,2395955,19351104,Bahasa Inggris,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Katolik,Olimpiade Matematika,Bus Sekolah,0274-998877,"denpasar di yogyakarta sma internasional c kolam renang, aula futsal, tari, robotik katolik 2395955 19351104",0.021477494,www.smppelitailmu127.sch.id
Sekolah Harapan Bangsa 229,Jl. Gatot Subroto No.15,Pademangan,Jakarta Utara,SMA,Nasional,Kurikulum Merdeka,716218,2821150,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Olimpiade Matematika,Tidak Ada,022-7654321,"surabaya di yogyakarta sma nasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 716218 2821150",0.105850487,www.sekolahharapanbangsa229.sch.id
SD Bintang Timur 60,Jl. Raya Ujung,Kebayoran Baru,Jakarta Selatan,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"yogyakarta dki jakarta sma negeri b lab komputer, perpustakaan, lapangan basket, pramuka, musik kristen 2863059 11750375",0.147173506,www.sdbintangtimur60.sch.id
SD Bintang Timur 121,Jl. Mawar No.2,Cipayung,Jakarta Timur,SD,Nasional,IB,1218841,4368498,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Katolik,Lomba Tari Provinsi,Antar Jemput Pribadi,0361-556677,"yogyakarta bali sd nasional c kolam renang, aula basket, pramuka, musik katolik 1218841 4368498",0.034935938,www.sdbintangtimur121.sch.id
SMA Nusantara 66,Jl. Raya Ujung,Pesanggrahan,Jakarta Selatan,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,021-1234567,"denpasar di yogyakarta smp negeri c kolam renang, aula pencak silat, kir budha 1453637 4482010",0,www.smanusantara66.sch.id
SMP Pelita Ilmu 21,Jl. Sudirman No.25,Kelapa Gading,Jakarta Utara,SMP,Internasional,Cambridge,1590805,5339142,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Budha,Juara 1 OSN,Tidak Ada,031-8765432,"bandung jawa timur sma internasional b lab komputer, perpustakaan, lapangan pencak silat, kir budha 1590805 5339142",0.071198832,www.smppelitailmu21.sch.id
TK Ceria 76,Jl. Raya Ujung,Pantai Indah Kapuk,Jakarta Utara,TK,Nasional Plus,Kurikulum Merdeka,1865586,1201623,Mandarin,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Hindu,Debat Nasional,Bus Sekolah,022-7654321,"bandung bali smp nasional plus c ruang musik, ruang seni basket, pramuka, musik hindu 1865586 1201623",0.032645667,www.tkceria76.sch.id
TK Ceria 234,Jl. Merdeka No.10,Kebayoran Baru,Jakarta Selatan,TK,Nasional,IB,1472759,9698056,Mandarin,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Kristen,Juara 1 OSN,Antar Jemput Pribadi,0361-556677,"surabaya di yogyakarta smp nasional b kolam renang, aula futsal, tari, robotik kristen 1472759 9698056",0,www.tkceria234.sch.id
SD Bintang Timur 51,Jl. Sudirman No.25,Kalideres,Jakarta Barat,SD,Nasional Plus,Kurikulum Merdeka,2122583,18316370,Jepang,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Bus Sekolah,021-1234567,"yogyakarta jawa barat tk nasional plus c kolam renang, aula futsal, tari, robotik budha 2122583 18316370",0,www.sdbintangtimur51.sch.id
TK Ceria 33,Jl. Gatot Subroto No.15,Sawah Besar,Jakarta Pusat,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Tidak Ada,021-1234567,"denpasar bali sd negeri b kolam renang, aula futsal, tari, robotik tidak ada 2276859 15203566",0,www.tkceria33.sch.id
Sekolah Harapan Bangsa 94,Jl. Raya Ujung,Pasar Rebo,Jakarta Timur,SMP,Nasional,Cambridge,2345145,17913296,Bahasa Indonesia,C,"Kolam Renang, Aula","Pencak Silat, KIR",Katolik,Lomba Tari Provinsi,Bus Sekolah,021-1234567,"yogyakarta dki jakarta sma nasional c kolam renang, aula pencak silat, kir katolik 2345145 17913296",0.063698676,www.sekolahharapanbangsa94.sch.id
TK Ceria 105,Jl. Merdeka No.10,Kembangan,Jakarta Barat,TK,Nasional,Cambridge,479812,1438222,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Olimpiade Matematika,Antar Jemput Pribadi,0274-998877,"jakarta selatan di yogyakarta tk nasional a ruang musik, ruang seni basket, pramuka, musik budha 479812 1438222",0.047447329,www.tkceria105.sch.id
SMA Nusantara 289,Jl. Raya Ujung,Gambir,Jakarta Pusat,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Debat Nasional,Tidak Ada,021-1234567,"denpasar jawa timur smp negeri c ruang musik, ruang seni pencak silat, kir hindu 1945061 19885912",0,www.smanusantara289.sch.id
SMA Nusantara 152,Jl. Merdeka No.10,Johar Baru,Jakarta Pusat,SMA,Internasional,Cambridge,2598822,5441262,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Tidak Ada,0361-556677,"yogyakarta jawa timur smp internasional c lab komputer, perpustakaan, lapangan pencak silat, kir islam 2598822 5441262",0.0798008,www.smanusantara152.sch.id
Sekolah Harapan Bangsa 236,Jl. Sudirman No.25,Setiabudi,Jakarta Selatan,SMP,Internasional,Cambridge,949533,3921535,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Katolik,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"denpasar dki jakarta sd internasional b ruang musik, ruang seni basket, pramuka, musik katolik 949533 3921535",0.072496563,www.sekolahharapanbangsa236.sch.id
Sekolah Harapan Bangsa 141,Jl. Mawar No.2,Penjaringan,Jakarta Utara,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Antar Jemput Pribadi,022-7654321,"yogyakarta bali sd negeri a lab komputer, perpustakaan, lapangan pencak silat, kir budha 2506566 13022426",0.050933546,www.sekolahharapanbangsa141.sch.id
SMA Nusantara 108,Jl. Sudirman No.25,Jatinegara,Jakarta Timur,SMA,Nasional,Kurikulum 2013,1845122,18332587,Jepang,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Katolik,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"denpasar jawa timur tk nasional c kolam renang, aula futsal, tari, robotik katolik 1845122 18332587",0,www.smanusantara108.sch.id
SMA Nusantara 283,Jl. Sudirman No.25,Kebayoran Lama,Jakarta Selatan,SMA,Internasional,Cambridge,714655,15665570,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Tidak Ada,Debat Nasional,Antar Jemput Pribadi,031-8765432,"denpasar bali sma internasional c lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 714655 15665570",0.070628863,www.smanusantara283.sch.id
Sekolah Harapan Bangsa 128,Jl. Sudirman No.25,Kelapa Dua,Jakarta Barat,SMP,Nasional,IB,562354,7438887,Mandarin,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Olimpiade Matematika,Tidak Ada,021-1234567,"denpasar jawa timur sma nasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 562354 7438887",0.105906179,www.sekolahharapanbangsa128.sch.id
SMA Nusantara 2,Jl. Sudirman No.25,Pasar Minggu,Jakarta Selatan,SMA,Nasional,Kurikulum 2013,1534832,18438928,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Katolik,Debat Nasional,Tidak Ada,0361-556677,"denpasar jawa timur tk nasional a lab komputer, perpustakaan, lapangan pencak silat, kir katolik 1534832 18438928",0.050269711,www.smanusantara2.sch.id
SMA Nusantara 273,Jl. Sudirman No.25,Tambora,Jakarta Barat,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Olimpiade Matematika,Tidak Ada,0274-998877,"jakarta selatan jawa barat sma negeri c lab komputer, perpustakaan, lapangan pencak silat, kir kristen 1222085 4039941",0.085819975,www.smanusantara273.sch.id
Sekolah Harapan Bangsa 165,Jl. Raya Ujung,Gambir,Jakarta Pusat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,031-8765432,"bandung di yogyakarta smp negeri c ruang musik, ruang seni basket, pramuka, musik budha 1792255 16055421",0.032536509,www.sekolahharapanbangsa165.sch.id
Sekolah Harapan Bangsa 29,Jl. Merdeka No.10,Kembangan,Jakarta Barat,SMP,Nasional,IB,2125588,4541926,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Hindu,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"yogyakarta bali sma nasional c ruang musik, ruang seni futsal, tari, robotik hindu 2125588 4541926",0.021363882,www.sekolahharapanbangsa29.sch.id
TK Ceria 136,Jl. Raya Ujung,Grogol Petamburan,Jakarta Barat,TK,Internasional,IB,1702340,1893710,Bahasa Inggris,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Olimpiade Matematika,Antar Jemput Pribadi,022-7654321,"surabaya bali smp internasional b kolam renang, aula futsal, tari, robotik hindu 1702340 1893710",0,www.tkceria136.sch.id
SMP Pelita Ilmu 35,Jl. Gatot Subroto No.15,Pantai Indah Kapuk,Jakarta Utara,SMP,Nasional Plus,Cambridge,2241491,15251386,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0361-556677,"yogyakarta di yogyakarta sma nasional plus b lab komputer, perpustakaan, lapangan pencak silat, kir islam 2241491 15251386",0.09822935,www.smppelitailmu35.sch.id
SMA Nusantara 221,Jl. Merdeka No.10,Setiabudi,Jakarta Selatan,SMA,Nasional Plus,IB,1250024,18997551,Jepang,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Tidak Ada,Debat Nasional,Tidak Ada,0361-556677,"yogyakarta di yogyakarta tk nasional plus b lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 1250024 18997551",0.080276619,www.smanusantara221.sch.id
TK Ceria 239,Jl. Raya Ujung,Tanjung Priok,Jakarta Utara,TK,Nasional Plus,Kurikulum 2013,2497630,8195324,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Hindu,Lomba Tari Provinsi,Bus Sekolah,0274-998877,"denpasar bali sd nasional plus b ruang musik, ruang seni pencak silat, kir hindu 2497630 8195324",0,www.tkceria239.sch.id
SMA Nusantara 219,Jl. Raya Ujung,Senen,Jakarta Pusat,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Antar Jemput Pribadi,021-1234567,"yogyakarta di yogyakarta tk negeri c lab komputer, perpustakaan, lapangan pencak silat, kir islam 283095 19309684",0.07800803,www.smanusantara219.sch.id
Sekolah Harapan Bangsa 7,Jl. Sudirman No.25,Cengkareng,Jakarta Barat,SD,Nasional Plus,Kurikulum Merdeka,464825,12011129,Mandarin,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Katolik,Olimpiade Matematika,Bus Sekolah,0361-556677,"yogyakarta bali sma nasional plus a lab komputer, perpustakaan, lapangan futsal, tari, robotik katolik 464825 12011129",0.071920314,www.sekolahharapanbangsa7.sch.id
SMP Pelita Ilmu 124,Jl. Gatot Subroto No.15,Pulo Gadung,Jakarta Timur,SMP,Nasional,Kurikulum Merdeka,2486485,2485397,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Tidak Ada,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"bandung dki jakarta tk nasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 2486485 2485397",0.1230008,www.smppelitailmu124.sch.id
SD Bintang Timur 26,Jl. Mawar No.2,Kebon Jeruk,Jakarta Barat,SD,Nasional,Kurikulum Merdeka,2890753,8732437,Mandarin,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Tidak Ada,Debat Nasional,Tidak Ada,021-1234567,"yogyakarta jawa barat sd nasional c ruang musik, ruang seni basket, pramuka, musik tidak ada 2890753 8732437",0.032436166,www.sdbintangtimur26.sch.id
Sekolah Harapan Bangsa 88,Jl. Sudirman No.25,Taman Sari,Jakarta Barat,TK,Nasional Plus,Kurikulum Merdeka,1504198,11716510,Mandarin,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Olimpiade Matematika,Bus Sekolah,022-7654321,"jakarta selatan bali tk nasional plus a lab komputer, perpustakaan, lapangan pencak silat, kir islam 1504198 11716510",0.093939264,www.sekolahharapanbangsa88.sch.id
SMA Nusantara 210,Jl. Gatot Subroto No.15,Kalideres,Jakarta Barat,SMA,Internasional,IB,1734886,9359468,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Debat Nasional,Tidak Ada,021-1234567,"denpasar bali sd internasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik islam 1734886 9359468",0.114738905,www.smanusantara210.sch.id
Sekolah Harapan Bangsa 113,Jl. Mawar No.2,Pesanggrahan,Jakarta Selatan,SMA,Nasional,Kurikulum 2013,1276295,3313849,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Katolik,Juara 1 OSN,Tidak Ada,021-1234567,"bandung jawa barat sd nasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik katolik 1276295 3313849",0.050351059,www.sekolahharapanbangsa113.sch.id
SMA Nusantara 11,Jl. Mawar No.2,Pasar Minggu,Jakarta Selatan,SMA,Nasional,Cambridge,1917354,10150620,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Juara 1 OSN,Tidak Ada,022-7654321,"jakarta selatan dki jakarta tk nasional b kolam renang, aula futsal, tari, robotik hindu 1917354 10150620",0.055485767,www.smanusantara11.sch.id
Sekolah Harapan Bangsa 214,Jl. Sudirman No.25,Ciracas,Jakarta Timur,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,0274-998877,"jakarta selatan dki jakarta tk negeri c kolam renang, aula futsal, tari, robotik islam 2290020 5352571",0.083792031,www.sekolahharapanbangsa214.sch.id
TK Ceria 156,Jl. Sudirman No.25,Kebayoran Lama,Jakarta Selatan,TK,Nasional Plus,IB,628426,7119070,Jepang,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Katolik,Lomba Tari Provinsi,Tidak Ada,0361-556677,"jakarta selatan dki jakarta sd nasional plus b ruang musik, ruang seni pencak silat, kir katolik 628426 7119070",0.05332438,www.tkceria156.sch.id
SMA Nusantara 143,Jl. Gatot Subroto No.15,Tebet,Jakarta Selatan,SMA,Internasional,Cambridge,542879,18953565,Bahasa Inggris,B,"Kolam Renang, Aula","Pencak Silat, KIR",Tidak Ada,Debat Nasional,Antar Jemput Pribadi,0361-556677,"jakarta selatan bali sma internasional b kolam renang, aula pencak silat, kir tidak ada 542879 18953565",0.036440957,www.smanusantara143.sch.id
SMA Nusantara 18,Jl. Mawar No.2,Kramat Jati,Jakarta Timur,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Olimpiade Matematika,Tidak Ada,0274-998877,"yogyakarta jawa timur tk negeri b kolam renang, aula pencak silat, kir budha 2385721 16652070",0,www.smanusantara18.sch.id
SMA Nusantara 204,Jl. Gatot Subroto No.15,Jatinegara,Jakarta Timur,SMA,Internasional,IB,999533,1734647,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Kristen,Olimpiade Matematika,Bus Sekolah,0361-556677,"yogyakarta dki jakarta smp internasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 999533 1734647",0.091391561,www.smanusantara204.sch.id
